time,Htđ
1/8/2016 18:00,2.19
1/8/2016 19:00,2.28
1/8/2016 20:00,2.31
1/8/2016 21:00,2.28
1/8/2016 22:00,2.16
1/8/2016 23:00,1.98
1/9/2016 0:00,1.77
1/9/2016 1:00,1.55
1/9/2016 2:00,1.34
1/9/2016 3:00,1.17
1/9/2016 4:00,1.06
1/9/2016 5:00,1.04
1/9/2016 6:00,1.10
1/9/2016 7:00,1.19
1/9/2016 8:00,1.32
1/9/2016 9:00,1.45
1/9/2016 10:00,1.55
1/9/2016 11:00,1.62
1/9/2016 12:00,1.66
1/9/2016 13:00,1.70
1/9/2016 14:00,1.75
1/9/2016 15:00,1.81
1/9/2016 16:00,1.90
1/9/2016 17:00,2.02
1/9/2016 18:00,2.16
1/9/2016 19:00,2.28
1/9/2016 20:00,2.35
1/9/2016 21:00,2.36
1/9/2016 22:00,2.29
1/9/2016 23:00,2.13
1/10/2016 0:00,1.92
1/10/2016 1:00,1.67
1/10/2016 2:00,1.43
1/10/2016 3:00,1.21
1/10/2016 4:00,1.05
1/10/2016 5:00,0.98
1/10/2016 6:00,1.00
1/10/2016 7:00,1.08
1/10/2016 8:00,1.21
1/10/2016 9:00,1.35
1/10/2016 10:00,1.49
1/10/2016 11:00,1.59
1/10/2016 12:00,1.65
1/10/2016 13:00,1.69
1/10/2016 14:00,1.73
1/10/2016 15:00,1.77
1/10/2016 16:00,1.84
1/10/2016 17:00,1.95
1/10/2016 18:00,2.09
1/10/2016 19:00,2.23
1/10/2016 20:00,2.34
1/10/2016 21:00,2.40
1/10/2016 22:00,2.39
1/10/2016 23:00,2.28
1/11/2016 0:00,2.09
1/11/2016 1:00,1.84
1/11/2016 2:00,1.58
1/11/2016 3:00,1.33
1/11/2016 4:00,1.12
1/11/2016 5:00,0.98
1/11/2016 6:00,0.95
1/11/2016 7:00,1.00
1/11/2016 8:00,1.11
1/11/2016 9:00,1.25
1/11/2016 10:00,1.41
1/11/2016 11:00,1.54
1/11/2016 12:00,1.63
1/11/2016 13:00,1.67
1/11/2016 14:00,1.70
1/11/2016 15:00,1.74
1/11/2016 16:00,1.79
1/11/2016 17:00,1.87
1/11/2016 18:00,1.98
1/11/2016 19:00,2.13
1/11/2016 20:00,2.28
1/11/2016 21:00,2.38
1/11/2016 22:00,2.42
1/11/2016 23:00,2.38
1/12/2016 0:00,2.24
1/12/2016 1:00,2.02
1/12/2016 2:00,1.76
1/12/2016 3:00,1.49
1/12/2016 4:00,1.25
1/12/2016 5:00,1.07
1/12/2016 6:00,0.97
1/12/2016 7:00,0.97
1/12/2016 8:00,1.05
1/12/2016 9:00,1.18
1/12/2016 10:00,1.33
1/12/2016 11:00,1.48
1/12/2016 12:00,1.60
1/12/2016 13:00,1.67
1/12/2016 14:00,1.70
1/12/2016 15:00,1.72
1/12/2016 16:00,1.75
1/12/2016 17:00,1.80
1/12/2016 18:00,1.88
1/12/2016 19:00,2.00
1/12/2016 20:00,2.15
1/12/2016 21:00,2.29
1/12/2016 22:00,2.37
1/12/2016 23:00,2.39
1/13/2016 0:00,2.33
1/13/2016 1:00,2.17
1/13/2016 2:00,1.94
1/13/2016 3:00,1.68
1/13/2016 4:00,1.43
1/13/2016 5:00,1.22
1/13/2016 6:00,1.06
1/13/2016 7:00,1.00
1/13/2016 8:00,1.04
1/13/2016 9:00,1.14
1/13/2016 10:00,1.28
1/13/2016 11:00,1.43
1/13/2016 12:00,1.57
1/13/2016 13:00,1.67
1/13/2016 14:00,1.71
1/13/2016 15:00,1.72
1/13/2016 16:00,1.73
1/13/2016 17:00,1.75
1/13/2016 18:00,1.80
1/13/2016 19:00,1.88
1/13/2016 20:00,2.00
1/13/2016 21:00,2.14
1/13/2016 22:00,2.25
1/13/2016 23:00,2.31
1/14/2016 0:00,2.32
1/14/2016 1:00,2.24
1/14/2016 2:00,2.08
1/14/2016 3:00,1.85
1/14/2016 4:00,1.61
1/14/2016 5:00,1.40
1/14/2016 6:00,1.22
1/14/2016 7:00,1.11
1/14/2016 8:00,1.09
1/14/2016 9:00,1.16
1/14/2016 10:00,1.27
1/14/2016 11:00,1.41
1/14/2016 12:00,1.55
1/14/2016 13:00,1.67
1/14/2016 14:00,1.74
1/14/2016 15:00,1.76
1/14/2016 16:00,1.75
1/14/2016 17:00,1.74
1/14/2016 18:00,1.75
1/14/2016 19:00,1.78
1/14/2016 20:00,1.85
1/14/2016 21:00,1.96
1/14/2016 22:00,2.07
1/14/2016 23:00,2.16
1/15/2016 0:00,2.21
1/15/2016 1:00,2.20
1/15/2016 2:00,2.12
1/15/2016 3:00,1.96
1/15/2016 4:00,1.76
1/15/2016 5:00,1.56
1/15/2016 6:00,1.39
1/15/2016 7:00,1.27
1/15/2016 8:00,1.20
1/15/2016 9:00,1.22
1/15/2016 10:00,1.31
1/15/2016 11:00,1.43
1/15/2016 12:00,1.56
1/15/2016 13:00,1.68
1/15/2016 14:00,1.78
1/15/2016 15:00,1.82
1/15/2016 16:00,1.81
1/15/2016 17:00,1.78
1/15/2016 18:00,1.76
1/15/2016 19:00,1.75
1/15/2016 20:00,1.76
1/15/2016 21:00,1.80
1/15/2016 22:00,1.88
1/15/2016 23:00,1.97
1/16/2016 0:00,2.03
1/16/2016 1:00,2.06
1/16/2016 2:00,2.05
1/16/2016 3:00,1.97
1/16/2016 4:00,1.84
1/16/2016 5:00,1.68
1/16/2016 6:00,1.54
1/16/2016 7:00,1.42
1/16/2016 8:00,1.34
1/16/2016 9:00,1.33
1/16/2016 10:00,1.37
1/16/2016 11:00,1.47
1/16/2016 12:00,1.59
1/16/2016 13:00,1.71
1/16/2016 14:00,1.81
1/16/2016 15:00,1.88
1/16/2016 16:00,1.90
1/16/2016 17:00,1.86
1/16/2016 18:00,1.81
1/16/2016 19:00,1.77
1/16/2016 20:00,1.73
1/16/2016 21:00,1.71
1/16/2016 22:00,1.72
1/16/2016 23:00,1.76
1/17/2016 0:00,1.82
1/17/2016 1:00,1.86
1/17/2016 2:00,1.88
1/17/2016 3:00,1.87
1/17/2016 4:00,1.82
1/17/2016 5:00,1.73
1/17/2016 6:00,1.62
1/17/2016 7:00,1.54
1/17/2016 8:00,1.47
1/17/2016 9:00,1.44
1/17/2016 10:00,1.46
1/17/2016 11:00,1.53
1/17/2016 12:00,1.63
1/17/2016 13:00,1.75
1/17/2016 14:00,1.85
1/17/2016 15:00,1.94
1/17/2016 16:00,1.99
1/17/2016 17:00,1.98
1/17/2016 18:00,1.92
1/17/2016 19:00,1.85
1/17/2016 20:00,1.77
1/17/2016 21:00,1.69
1/17/2016 22:00,1.63
1/17/2016 23:00,1.61
1/18/2016 0:00,1.61
1/18/2016 1:00,1.64
1/18/2016 2:00,1.67
1/18/2016 3:00,1.69
1/18/2016 4:00,1.70
1/18/2016 5:00,1.68
1/18/2016 6:00,1.64
1/18/2016 7:00,1.59
